"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-tolo1259-1-one-1","numerals-tolo1259-1","Chan2019","one",1,"ɬaː","la","","false",NA,NA,NA
"2","numerals-tolo1259-1-two-1","numerals-tolo1259-1","Chan2019","two",2,"naːxe","naxe","","false",NA,NA,NA
"3","numerals-tolo1259-1-three-1","numerals-tolo1259-1","Chan2019","three",3,"tʰaːxe","thaxe","","false",NA,NA,NA
"4","numerals-tolo1259-1-four-1","numerals-tolo1259-1","Chan2019","four",4,"tʌn.t͡ʃiʔ","tntsi","","false",NA,NA,NA
"5","numerals-tolo1259-1-five-1","numerals-tolo1259-1","Chan2019","five",5,"ʂʷeː.laʔ","swela","","false",NA,NA,NA
"6","numerals-tolo1259-1-six-1","numerals-tolo1259-1","Chan2019","six",6,"kʼʷes.tʰaː.ni","kwesthani","","false",NA,NA,NA
"7","numerals-tolo1259-1-seven-1","numerals-tolo1259-1","Chan2019","seven",7,"ʂt͡ʃeː.tʼe","stsete","","false",NA,NA,NA
"8","numerals-tolo1259-1-eight-1","numerals-tolo1259-1","Chan2019","eight",8,"laːniː.ʂʌt.naː.tʰa","lanistnatha","","false",NA,NA,NA
"9","numerals-tolo1259-1-nine-1","numerals-tolo1259-1","Chan2019","nine",9,"ɬaʔ.tu͡i","latui","","false",NA,NA,NA
"10","numerals-tolo1259-1-ten-1","numerals-tolo1259-1","Chan2019","ten",10,"neː.san","nesan","","false",NA,NA,NA
"11","numerals-tolo1259-1-eleven-1","numerals-tolo1259-1","Chan2019","eleven",11,"neː.san.ɬaʔ.t͡ʃaː.tʰa","nesanlatsatha","","false",NA,NA,NA
"12","numerals-tolo1259-1-twelve-1","numerals-tolo1259-1","Chan2019","twelve",12,"neː.san.naːxeː.t͡ʃaː.tʰa","nesannaxetsatha","","false",NA,NA,NA
"13","numerals-tolo1259-1-thirteen-1","numerals-tolo1259-1","Chan2019","thirteen",13,"neː.san.tʰaːxeː.t͡ʃaː.tʰa","nesanthaxetsatha","","false",NA,NA,NA
"14","numerals-tolo1259-1-fourteen-1","numerals-tolo1259-1","Chan2019","fourteen",14,"neː.san.tʌn.t͡ʃiʔ.t͡ʃaː.tʰa","nesantntsitsatha","","false",NA,NA,NA
"15","numerals-tolo1259-1-fifteen-1","numerals-tolo1259-1","Chan2019","fifteen",15,"neː.san.ʂʷeː.laʔ.t͡ʃaː.tʰa","nesanswelatsatha","","false",NA,NA,NA
"16","numerals-tolo1259-1-sixteen-1","numerals-tolo1259-1","Chan2019","sixteen",16,"neː.san.kʼʷes.tʰaː.ni.t͡ʃaː.tʰa","nesankwesthanitsatha","","false",NA,NA,NA
"17","numerals-tolo1259-1-seventeen-1","numerals-tolo1259-1","Chan2019","seventeen",17,"neː.san.ʂt͡ʃeː.tʼeː.t͡ʃaː.tʰa","nesanstsetetsatha","","false",NA,NA,NA
"18","numerals-tolo1259-1-eighteen-1","numerals-tolo1259-1","Chan2019","eighteen",18,"neː.san.laːniː.ʂʌt.naː.tʰa.t͡ʃaː.t.","nesanlanistnathatsat","","false",NA,NA,NA
"19","numerals-tolo1259-1-nineteen-1","numerals-tolo1259-1","Chan2019","nineteen",19,"neː.san.ɬaʔ.tu͡i.t͡ʃaː.tʰa","nesanlatuitsatha","","false",NA,NA,NA
"20","numerals-tolo1259-1-twenty-1","numerals-tolo1259-1","Chan2019","twenty",20,"neː.dʌn.neː.san","nednnesan","","false",NA,NA,NA
"21","numerals-tolo1259-1-twentyone-1","numerals-tolo1259-1","Chan2019","twentyone",21,"neː.dʌn.neː.san neː.san.ɬaʔ.t͡ʃaː.tʰa","nednnesannesanlatsatha","","false",NA,NA,NA
"22","numerals-tolo1259-1-twentytwo-1","numerals-tolo1259-1","Chan2019","twentytwo",22,"neː.dʌn.neː.san neː.san.naːxeː.t͡ʃaː.tʰa","nednnesannesannaxetsatha","","false",NA,NA,NA
"23","numerals-tolo1259-1-twentythree-1","numerals-tolo1259-1","Chan2019","twentythree",23,"neː.dʌn.neː.san neː.san.tʰaːxeː.t͡ʃaː.tʰa","nednnesannesanthaxetsatha","","false",NA,NA,NA
"24","numerals-tolo1259-1-twentyfour-1","numerals-tolo1259-1","Chan2019","twentyfour",24,"neː.dʌn.neː.san neː.san.tʌn.t͡ʃiʔ.t͡ʃaː.tʰa","nednnesannesantntsitsatha","","false",NA,NA,NA
"25","numerals-tolo1259-1-twentyfive-1","numerals-tolo1259-1","Chan2019","twentyfive",25,"neː.dʌn.neː.san neː.san.ʂʷeː.laʔ.t͡ʃaː.tʰa","nednnesannesanswelatsatha","","false",NA,NA,NA
"26","numerals-tolo1259-1-twentysix-1","numerals-tolo1259-1","Chan2019","twentysix",26,"neː.dʌn.neː.san neː.san.kʼʷes.tʰaː.niː.t͡ʃaː.tʰa","nednnesannesankwesthanitsatha","","false",NA,NA,NA
"27","numerals-tolo1259-1-twentyseven-1","numerals-tolo1259-1","Chan2019","twentyseven",27,"neː.dʌn.neː.san neː.san.ʂt͡ʃeː.tʼeː.t͡ʃaː.tʰa","nednnesannesanstsetetsatha","","false",NA,NA,NA
"28","numerals-tolo1259-1-twentyeight-1","numerals-tolo1259-1","Chan2019","twentyeight",28,"neː.dʌn.neː.san neː.san.laːniː.ʂʌt.naː.t͡ʃa.tʰa","nednnesannesanlanistnatsatha","","false",NA,NA,NA
