"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-guja1253-1-one-1","numerals-guja1253-1","Chan2019","one",1,"ek","ek","","false",NA,NA,NA
"2","numerals-guja1253-1-two-1","numerals-guja1253-1","Chan2019","two",2,"do","do","","false",NA,NA,NA
"3","numerals-guja1253-1-three-1","numerals-guja1253-1","Chan2019","three",3,"trɛ","tre","","false",NA,NA,NA
"4","numerals-guja1253-1-four-1","numerals-guja1253-1","Chan2019","four",4,"t͡ʃar","tsar","","false",NA,NA,NA
"5","numerals-guja1253-1-five-1","numerals-guja1253-1","Chan2019","five",5,"pənd͡ʒ","pandz","","false",NA,NA,NA
"6","numerals-guja1253-1-six-1","numerals-guja1253-1","Chan2019","six",6,"t͡ʃʰe","tshe","","false",NA,NA,NA
"7","numerals-guja1253-1-seven-1","numerals-guja1253-1","Chan2019","seven",7,"sət","sat","","false",NA,NA,NA
"8","numerals-guja1253-1-eight-1","numerals-guja1253-1","Chan2019","eight",8,"əʈʰ","ath","","false",NA,NA,NA
"9","numerals-guja1253-1-nine-1","numerals-guja1253-1","Chan2019","nine",9,"nɔ̃","no","","false",NA,NA,NA
"10","numerals-guja1253-1-ten-1","numerals-guja1253-1","Chan2019","ten",10,"dəs","das","","false",NA,NA,NA
"11","numerals-guja1253-1-eleven-1","numerals-guja1253-1","Chan2019","eleven",11,"yarã","yara","","false",NA,NA,NA
"12","numerals-guja1253-1-twelve-1","numerals-guja1253-1","Chan2019","twelve",12,"barã","bara","","false",NA,NA,NA
"13","numerals-guja1253-1-thirteen-1","numerals-guja1253-1","Chan2019","thirteen",13,"terã","tera","","false",NA,NA,NA
"14","numerals-guja1253-1-fourteen-1","numerals-guja1253-1","Chan2019","fourteen",14,"t͡ʃəudã","tsauda","","false",NA,NA,NA
"15","numerals-guja1253-1-fifteen-1","numerals-guja1253-1","Chan2019","fifteen",15,"pəndrã","pandra","","false",NA,NA,NA
"16","numerals-guja1253-1-sixteen-1","numerals-guja1253-1","Chan2019","sixteen",16,"sɔɭã","sola","","false",NA,NA,NA
"17","numerals-guja1253-1-seventeen-1","numerals-guja1253-1","Chan2019","seventeen",17,"sətarã","satara","","false",NA,NA,NA
"18","numerals-guja1253-1-eighteen-1","numerals-guja1253-1","Chan2019","eighteen",18,"ʈʰarã","thara","","false",NA,NA,NA
"19","numerals-guja1253-1-nineteen-1","numerals-guja1253-1","Chan2019","nineteen",19,"unní","unni","( 20 - 1)","false",NA,NA,NA
"20","numerals-guja1253-1-twenty-1","numerals-guja1253-1","Chan2019","twenty",20,"bí","bi","","false",NA,NA,NA
"21","numerals-guja1253-1-twentyone-1","numerals-guja1253-1","Chan2019","twentyone",21,"ɪkkí","ikki","","false",NA,NA,NA
"22","numerals-guja1253-1-twentytwo-1","numerals-guja1253-1","Chan2019","twentytwo",22,"bai","bai","","false",NA,NA,NA
"23","numerals-guja1253-1-twentythree-1","numerals-guja1253-1","Chan2019","twentythree",23,"trei","trei","","false",NA,NA,NA
"24","numerals-guja1253-1-twentyfour-1","numerals-guja1253-1","Chan2019","twentyfour",24,"t͡ʃɔbi","tsobi","","false",NA,NA,NA
"25","numerals-guja1253-1-twentyfive-1","numerals-guja1253-1","Chan2019","twentyfive",25,"pənd͡ʒí","pandzi","","false",NA,NA,NA
"26","numerals-guja1253-1-twentysix-1","numerals-guja1253-1","Chan2019","twentysix",26,"t͡ʃʰəbbi","tshabbi","","false",NA,NA,NA
"27","numerals-guja1253-1-twentyseven-1","numerals-guja1253-1","Chan2019","twentyseven",27,"sətai","satai","","false",NA,NA,NA
"28","numerals-guja1253-1-twentyeight-1","numerals-guja1253-1","Chan2019","twentyeight",28,"əʈʰai","athai","","false",NA,NA,NA
"29","numerals-guja1253-1-twentynine-1","numerals-guja1253-1","Chan2019","twentynine",29,"ənətri","anatri","( 30 - 1)","false",NA,NA,NA
"30","numerals-guja1253-1-thirty-1","numerals-guja1253-1","Chan2019","thirty",30,"tri","tri","","false",NA,NA,NA
"31","numerals-guja1253-1-forty-1","numerals-guja1253-1","Chan2019","forty",40,"t͡ʃaɭi","tsali","","false",NA,NA,NA
"32","numerals-guja1253-1-fifty-1","numerals-guja1253-1","Chan2019","fifty",50,"pənd͡ʒá","pandza","","false",NA,NA,NA
"33","numerals-guja1253-1-sixty-1","numerals-guja1253-1","Chan2019","sixty",60,"saʈh","sath","","false",NA,NA,NA
"34","numerals-guja1253-1-seventy-1","numerals-guja1253-1","Chan2019","seventy",70,"səttər","sattar","","false",NA,NA,NA
"35","numerals-guja1253-1-eighty-1","numerals-guja1253-1","Chan2019","eighty",80,"əssi","assi","","false",NA,NA,NA
"36","numerals-guja1253-1-ninety-1","numerals-guja1253-1","Chan2019","ninety",90,"nəbbɛ","nabbe","","false",NA,NA,NA
"37","numerals-guja1253-1-hundred-1","numerals-guja1253-1","Chan2019","hundred",100,"sɔ","so","","false",NA,NA,NA
"38","numerals-guja1253-1-twohundred-1","numerals-guja1253-1","Chan2019","twohundred",200,"do sɔ","doso","","false",NA,NA,NA
"39","numerals-guja1253-1-thousand-1","numerals-guja1253-1","Chan2019","thousand",1000,"ə̀d͡ʒar","adzar","","false",NA,NA,NA
"40","numerals-guja1253-1-twothousand-1","numerals-guja1253-1","Chan2019","twothousand",2000,"do ə̀d͡ʒar","doadzar","","false",NA,NA,NA
