,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-yaku1245-1-one-1,numerals-yaku1245-1,Chan2019,one,1,biːr,bir,,false,1,NA,NA
2,numerals-yaku1245-1-two-1,numerals-yaku1245-1,Chan2019,two,2,ikki,ikki,,false,2,NA,NA
3,numerals-yaku1245-1-three-1,numerals-yaku1245-1,Chan2019,three,3,ys,ys,,false,3,NA,NA
4,numerals-yaku1245-1-four-1,numerals-yaku1245-1,Chan2019,four,4,tyørt,tyort,,false,4,NA,NA
5,numerals-yaku1245-1-five-1,numerals-yaku1245-1,Chan2019,five,5,biæs,biaes,,false,5,NA,NA
6,numerals-yaku1245-1-six-1,numerals-yaku1245-1,Chan2019,six,6,ɑltɑ,alta,,false,6,NA,NA
7,numerals-yaku1245-1-seven-1,numerals-yaku1245-1,Chan2019,seven,7,sættæ,saettae,,false,7,NA,NA
8,numerals-yaku1245-1-eight-1,numerals-yaku1245-1,Chan2019,eight,8,ɑʁɯs,arws,,false,8,NA,NA
9,numerals-yaku1245-1-eight-2,numerals-yaku1245-1,Chan2019,eight,8,ɑʁɨs,aris,,false,8,NA,NA
10,numerals-yaku1245-1-nine-1,numerals-yaku1245-1,Chan2019,nine,9,toʁus,torus,,false,9,NA,NA
11,numerals-yaku1245-1-ten-1,numerals-yaku1245-1,Chan2019,ten,10,uon,uon,,false,10,NA,NA
12,numerals-yaku1245-1-eleven-1,numerals-yaku1245-1,Chan2019,eleven,11,uon biːr,uonbir,,false,10+1,NA,NA
13,numerals-yaku1245-1-twelve-1,numerals-yaku1245-1,Chan2019,twelve,12,uon ikki,uonikki,,false,10+2,NA,NA
14,numerals-yaku1245-1-thirteen-1,numerals-yaku1245-1,Chan2019,thirteen,13,uon ys,uonys,,false,10+3,NA,NA
15,numerals-yaku1245-1-fourteen-1,numerals-yaku1245-1,Chan2019,fourteen,14,uon tyørt,uontyort,,false,10+4,NA,NA
16,numerals-yaku1245-1-fifteen-1,numerals-yaku1245-1,Chan2019,fifteen,15,uon biæs,uonbiaes,,false,10+5,NA,NA
17,numerals-yaku1245-1-sixteen-1,numerals-yaku1245-1,Chan2019,sixteen,16,uon ɑltɑ,uonalta,,false,10+6,NA,NA
18,numerals-yaku1245-1-seventeen-1,numerals-yaku1245-1,Chan2019,seventeen,17,uon sættæ,uonsaettae,,false,10+7,NA,NA
19,numerals-yaku1245-1-eighteen-1,numerals-yaku1245-1,Chan2019,eighteen,18,uon ɑʁɨs,uonaris,,false,10+8,NA,NA
