"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","FileName","Glosser","Gloss.clean","Gloss.math","Gloss.calc"
"11",4440,"numerals-afad1236-1-fifty-1","numerals-afad1236-1","Chan2019","fifty",50,"hàmsíǹ","hamsin","< Chadic Arabic","true","?","Either a loan from Arabic or a case of codeswitching.","5’[⋅10]{PL}","numerals-afad1236-1.csv","NK","?","?",NA
"12",4441,"numerals-afad1236-1-sixty-1","numerals-afad1236-1","Chan2019","sixty",60,"sìtíǹ","sitin","< Chadic Arabic","true","?","Either a loan from Arabic or a case of codeswitching.","6’[⋅10]{PL}","numerals-afad1236-1.csv","NK","?","?",NA
"13",4442,"numerals-afad1236-1-seventy-1","numerals-afad1236-1","Chan2019","seventy",70,"sàpíǹ","sapin","< Chadic Arabic","true","?","Either a loan from Arabic or a case of codeswitching.","7’[⋅10]{PL}","numerals-afad1236-1.csv","NK","?","?",NA
"14",4443,"numerals-afad1236-1-eighty-1","numerals-afad1236-1","Chan2019","eighty",80,"tàmàníǹ","tamanin","< Chadic Arabic","true","?","Either a loan from Arabic or a case of codeswitching.","8’[⋅10]{PL}","numerals-afad1236-1.csv","NK","?","?",NA
"15",4444,"numerals-afad1236-1-ninety-1","numerals-afad1236-1","Chan2019","ninety",90,"tìsíǹ","tisin","< Chadic Arabic","true","?","Either a loan from Arabic or a case of codeswitching.","9’[⋅10]{PL}","numerals-afad1236-1.csv","NK","?","?",NA
"16",4591,"numerals-agua1253-3-twelve-1","numerals-agua1253-3","Chan2019","twelve",12,"dawe makitʃik","dawemakitsik","","false","?","I think the form for 11 has been doubled by mistake and all the others are shifted by one field. ",NA,"numerals-agua1253-3.csv","NK","?","?",NA
"17",4592,"numerals-agua1253-3-thirteen-1","numerals-agua1253-3","Chan2019","thirteen",13,"dawe ximaxa","daweximaxa","","false","?","The given form is probably meant to represent 12: [10]{foot}+2.",NA,"numerals-agua1253-3.csv","NK","?","?",NA
"18",4593,"numerals-agua1253-3-fourteen-1","numerals-agua1253-3","Chan2019","fourteen",14,"dawe kampatum","dawekampatum","","false","?","The given form is probably meant to represent 13: [10]{foot}+3.",NA,"numerals-agua1253-3.csv","NK","?","?",NA
"19",4594,"numerals-agua1253-3-fifteen-1","numerals-agua1253-3","Chan2019","fifteen",15,"dawe ipaksumat","daweipaksumat","","false","?","The given form is probably meant to represent 14: [10]{foot}+4.",NA,"numerals-agua1253-3.csv","NK","?","?",NA
"20",4595,"numerals-agua1253-3-sixteen-1","numerals-agua1253-3","Chan2019","sixteen",16,"dawe xuinia ixuk","dawexuiniaixuk","","false","?","The given form is probably meant to represent 15: [10]{foot}+5′. The “true” form for 16 is missing. ",NA,"numerals-agua1253-3.csv","NK","?","?",NA
"21",4643,"numerals-ahte1237-1-ninety-1","numerals-ahte1237-1","Chan2019","ninety",90,"łk’edencʼih xundelaayi","lkedencihxundelaayi","(L,  C)","false","?","The same as 80?",NA,"numerals-ahte1237-1.csv","NK","?","?",NA
"22",4649,"numerals-ahte1237-1-hundred-5","numerals-ahte1237-1","Chan2019","hundred",100,"nadelaay","nadelaay","(M)","false","?","Delaay as in xundelaayi ‘10’? And na- looks like ‘2’.",NA,"numerals-ahte1237-1.csv","NK","?","?",NA
"23",4654,"numerals-aika1237-1-five-1","numerals-aika1237-1","Chan2019","five",5,"ɑmeme hinɑ̃rikɑẽ ĩne","amemehinarikaeine","(litː 'one hand finished') rejected by some","false","?","Apparently not accepted by all speakers.","1⋅5{hand-finished}","numerals-aika1237-1.csv","NK","?","?",NA
"24",4722,"numerals-ainu1251-1-forty-1","numerals-ainu1251-1","Chan2019","forty",40,"t͡ʃɑrum","tsarum",NA,"false","?","The forms of 40-90 are rather ‘the fourth’, ‘the fifth’ etc. in Persian. This is either a mistake in the dataset or a deviation from the Persian numeral system in this language.",NA,"numerals-ainu1251-1.csv","NK","?","?",NA
"25",4723,"numerals-ainu1251-1-fifty-1","numerals-ainu1251-1","Chan2019","fifty",50,"pɛnd͡ʒum","pendzum",NA,"false","?","The forms of 40-90 are rather ‘the fourth’, ‘the fifth’ etc. in Persian. This is either a mistake in the dataset or a deviation from the Persian numeral system in this language.",NA,"numerals-ainu1251-1.csv","NK","?","?",NA
"26",4724,"numerals-ainu1251-1-sixty-1","numerals-ainu1251-1","Chan2019","sixty",60,"ʃɛʃum","sesum",NA,"false","?","The forms of 40-90 are rather ‘the fourth’, ‘the fifth’ etc. in Persian. This is either a mistake in the dataset or a deviation from the Persian numeral system in this language.",NA,"numerals-ainu1251-1.csv","NK","?","?",NA
"27",4725,"numerals-ainu1251-1-seventy-1","numerals-ainu1251-1","Chan2019","seventy",70,"hɛptum","heptum",NA,"false","?","The forms of 40-90 are rather ‘the fourth’, ‘the fifth’ etc. in Persian. This is either a mistake in the dataset or a deviation from the Persian numeral system in this language.",NA,"numerals-ainu1251-1.csv","NK","?","?",NA
"28",4726,"numerals-ainu1251-1-eighty-1","numerals-ainu1251-1","Chan2019","eighty",80,"hɛʃtum","hestum",NA,"false","?","The forms of 40-90 are rather ‘the fourth’, ‘the fifth’ etc. in Persian. This is either a mistake in the dataset or a deviation from the Persian numeral system in this language.",NA,"numerals-ainu1251-1.csv","NK","?","?",NA
"29",4727,"numerals-ainu1251-1-ninety-1","numerals-ainu1251-1","Chan2019","ninety",90,"nohum","nohum",NA,"false","?","The forms of 40-90 are rather ‘the fourth’, ‘the fifth’ etc. in Persian. This is either a mistake in the dataset or a deviation from the Persian numeral system in this language.",NA,"numerals-ainu1251-1.csv","NK","?","?",NA
"30",4814,"numerals-alab1237-1-twenty-1","numerals-alab1237-1","Chan2019","twenty",20,"pókkòolawahchákkàali","pokkoolawahchakkaali","","false","?","From 20 to 30, the numerals stop making sense to me. 20 seems to be identical to 19??",NA,"numerals-alab1237-1.csv","NK","?","?",NA
"31",4815,"numerals-alab1237-1-twentyone-1","numerals-alab1237-1","Chan2019","twentyone",21,"pókkòolawahchákkàali awah cháffàaka","pokkoolawahchakkaaliawahchaffaaka","","false","?","Depends on analysis of 20.",NA,"numerals-alab1237-1.csv","NK","?","?",NA
"32",4816,"numerals-alab1237-1-twentytwo-1","numerals-alab1237-1","Chan2019","twentytwo",22,"pókkòolawahchákkàali awah tòklo","pokkoolawahchakkaaliawahtoklo","","false","?","Depends on analysis of 20.",NA,"numerals-alab1237-1.csv","NK","?","?",NA
"33",4817,"numerals-alab1237-1-twentythree-1","numerals-alab1237-1","Chan2019","twentythree",23,"pókkòolawahchákkàali awah tótchìina","pokkoolawahchakkaaliawahtotchiina","","false","?","Depends on analysis of 20.",NA,"numerals-alab1237-1.csv","NK","?","?",NA
"34",4818,"numerals-alab1237-1-twentyfour-1","numerals-alab1237-1","Chan2019","twentyfour",24,"pókkòolawahchákkàali awah óstàaka","pokkoolawahchakkaaliawahostaaka","","false","?","Depends on analysis of 20.",NA,"numerals-alab1237-1.csv","NK","?","?",NA
"35",4819,"numerals-alab1237-1-twentyfive-1","numerals-alab1237-1","Chan2019","twentyfive",25,"pókkòolawahchákkàali awah táɬɬàapi","pokkoolawahchakkaaliawahtallaapi","","false","?","Depends on analysis of 20.",NA,"numerals-alab1237-1.csv","NK","?","?",NA
"36",4820,"numerals-alab1237-1-twentysix-1","numerals-alab1237-1","Chan2019","twentysix",26,"pókkòolawahchákkàali awah hánnàali","pokkoolawahchakkaaliawahhannaali","","false","?","Depends on analysis of 20.",NA,"numerals-alab1237-1.csv","NK","?","?",NA
"37",4821,"numerals-alab1237-1-twentyseven-1","numerals-alab1237-1","Chan2019","twentyseven",27,"pókkòolawahchákkàali awah ontòklo","pokkoolawahchakkaaliawahontoklo","","false","?","Depends on analysis of 20.",NA,"numerals-alab1237-1.csv","NK","?","?",NA
"38",4822,"numerals-alab1237-1-twentyeight-1","numerals-alab1237-1","Chan2019","twentyeight",28,"pókkòolawahchákkàali awah ontótchìina","pokkoolawahchakkaaliawahontotchiina","","false","?","Depends on analysis of 20.",NA,"numerals-alab1237-1.csv","NK","?","?",NA
"39",4823,"numerals-alab1237-1-twentynine-1","numerals-alab1237-1","Chan2019","twentynine",29,"pókkòolawahchákkàali awah chákkàali","pokkoolawahchakkaaliawahchakkaali","","false","?","Depends on analysis of 20.",NA,"numerals-alab1237-1.csv","NK","?","?",NA
"40",4824,"numerals-alab1237-1-thirty-1","numerals-alab1237-1","Chan2019","thirty",30,"poolihchitóklo","poolihchitoklo","","false","?","Seems to be 10′⋅2 which doesn’t work arithmetically. Perhaps this is the numeral for 20?",NA,"numerals-alab1237-1.csv","NK","?","?",NA
"41",4831,"numerals-alab1237-1-hundred-1","numerals-alab1237-1","Chan2019","hundred",100,"táɬɬìipascháffàaka","talliipaschaffaaka","","false","?","The glossing would be 5⋅?⋅1. The unclear part is perhaps 20 but with the other uncertainties in this language I don’t feel confident to just claim that.",NA,"numerals-alab1237-1.csv","NK","?","?",NA
"42",4833,"numerals-alab1237-1-twohundred-1","numerals-alab1237-1","Chan2019","twohundred",200,"táɬɬìipastòklo","talliipastoklo","","false","?","5⋅40?",NA,"numerals-alab1237-1.csv","NK","?","?",NA
"43",4834,"numerals-alab1237-1-thousand-1","numerals-alab1237-1","Chan2019","thousand",1000,"táɬìipaspókkòoli","taliipaspokkooli","","false","?","Depends on analysis of 100.",NA,"numerals-alab1237-1.csv","NK","?","?",NA
"44",4835,"numerals-alab1237-1-twothousand-1","numerals-alab1237-1","Chan2019","twothousand",2000,"táɬìipaspoolistòklo","taliipaspoolistoklo","","false","?","Whatever 1000 is (but not entirely identical) times 2?",NA,"numerals-alab1237-1.csv","NK","?","?",NA
"45",5055,"numerals-amar1274-1-twenty-1","numerals-amar1274-1","Chan2019","twenty",20,"'ᵐbɔt̚'ᵐbaʔneŋ","mbotmbaneng","","false","?","Contributor suspects that this is just a variant of 10 and reports that the two seem to be interchangeable.",NA,"numerals-amar1274-1.csv","NK","?","?",NA
"46",5065,"numerals-amat1238-1-ten-1","numerals-amat1238-1","Chan2019","ten",10,"tʃii-ya","tsiiya","","FALSCH","?","10 and 11 are identical",NA,"numerals-amat1238-1.csv","NK","?","?",NA
"47",5066,"numerals-amat1238-1-eleven-1","numerals-amat1238-1","Chan2019","eleven",11,"tʃii-ya","tsiiya","","FALSCH","?","10 and 11 are identical",NA,"numerals-amat1238-1.csv","NK","?","?",NA
"48",5067,"numerals-amat1238-1-twelve-1","numerals-amat1238-1","Chan2019","twelve",12,"tʃiitub-a","tsiituba","","FALSCH","?","11+1? The 1 is clear but based on 30 tʃii should be 10",NA,"numerals-amat1238-1.csv","NK","?","?",NA
"49",5068,"numerals-amat1238-1-thirteen-1","numerals-amat1238-1","Chan2019","thirteen",13,"tʃin-a","tsina","","FALSCH","?","Probably 10+3 but the structure remains unclear (and even more so for 10-12 and 14).",NA,"numerals-amat1238-1.csv","NK","?","?",NA
"50",5069,"numerals-amat1238-1-fourteen-1","numerals-amat1238-1","Chan2019","fourteen",14,"tʃida-y","tsiday","","FALSCH","?","intransparent",NA,"numerals-amat1238-1.csv","NK","?","?",NA
"51",5191,"numerals-andi1255-1-thirty-1","numerals-andi1255-1","Chan2019","thirty",30,"ɬob.tsʼo.gu hotʃʼo.gu","lobtsoguhotsogu","","false","?","Glossing would suggest 3⋅10+9 so this must be an error.",NA,"numerals-andi1255-1.csv","NK","?","?",NA
"52",5222,"numerals-ando1256-1-twenty-2","numerals-ando1256-1","Chan2019","twenty",20,"ʌisidé pãã́ or ka-hako-dʌka pãã́","kahakodkapaa","?","false","?","It begins with 2’⋅5 but the rest is unclear to me – more information needed on the language and what the individual words mean.",NA,"numerals-ando1256-1.csv","NK","?","?",NA
"53",5223,"numerals-ando1256-1-thirty-1","numerals-ando1256-1","Chan2019","thirty",30,"ʌi-nõ hʌlhʌ ə̃-dɨl-ə́ pãã́","inohlhadilapaa","(litː ? )","false","?","Difficult to analyze without further information on the language.",NA,"numerals-ando1256-1.csv","NK","?","?",NA
"54",5234,"numerals-apal1257-1-six-1","numerals-apal1257-1","Chan2019","six",6,"omazu pona","omazupona",NA,"false","?","There is some kind of structure in 6-9 but I am unable to think of an analysis that fits all forms.",NA,"numerals-apal1257-1.csv","NK","?","?",NA
"55",5235,"numerals-apal1257-1-seven-1","numerals-apal1257-1","Chan2019","seven",7,"omazu mykaponato","omazumykaponato",NA,"false","?","There is some kind of structure in 6-9 but I am unable to think of an analysis that fits all forms.",NA,"numerals-apal1257-1.csv","NK","?","?",NA
"56",5236,"numerals-apal1257-1-eight-1","numerals-apal1257-1","Chan2019","eight",8,"iranaono","iranaono",NA,"false","?","There is some kind of structure in 6-9 but I am unable to think of an analysis that fits all forms.",NA,"numerals-apal1257-1.csv","NK","?","?",NA
"57",5237,"numerals-apal1257-1-nine-1","numerals-apal1257-1","Chan2019","nine",9,"iranao mykaponato","iranaomykaponato",NA,"false","?","There is some kind of structure in 6-9 but I am unable to think of an analysis that fits all forms.",NA,"numerals-apal1257-1.csv","NK","?","?",NA
"58",5239,"numerals-apal1257-1-eleven-1","numerals-apal1257-1","Chan2019","eleven",11,"onzeme","onzeme",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","11","numerals-apal1257-1.csv","NK","?","?",NA
"59",5240,"numerals-apal1257-1-twelve-1","numerals-apal1257-1","Chan2019","twelve",12,"dozeme","dozeme",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","12","numerals-apal1257-1.csv","NK","?","?",NA
"60",5241,"numerals-apal1257-1-thirteen-1","numerals-apal1257-1","Chan2019","thirteen",13,"trezeme","trezeme",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","13","numerals-apal1257-1.csv","NK","?","?",NA
"61",5242,"numerals-apal1257-1-fourteen-1","numerals-apal1257-1","Chan2019","fourteen",14,"catorzeme","catorzeme",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","14","numerals-apal1257-1.csv","NK","?","?",NA
"62",5243,"numerals-apal1257-1-fifteen-1","numerals-apal1257-1","Chan2019","fifteen",15,"quinzeme","quinzeme",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","15","numerals-apal1257-1.csv","NK","?","?",NA
"63",5244,"numerals-apal1257-1-sixteen-1","numerals-apal1257-1","Chan2019","sixteen",16,"dezesseisme","dezesseisme",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","10+6","numerals-apal1257-1.csv","NK","?","?",NA
"64",5245,"numerals-apal1257-1-seventeen-1","numerals-apal1257-1","Chan2019","seventeen",17,"dezessseteme","dezessseteme",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","10+7","numerals-apal1257-1.csv","NK","?","?",NA
"65",5246,"numerals-apal1257-1-eighteen-1","numerals-apal1257-1","Chan2019","eighteen",18,"dezoitome","dezoitome",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","10+8","numerals-apal1257-1.csv","NK","?","?",NA
"66",5247,"numerals-apal1257-1-nineteen-1","numerals-apal1257-1","Chan2019","nineteen",19,"dezanoveme","dezanoveme",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","10+9","numerals-apal1257-1.csv","NK","?","?",NA
"67",5248,"numerals-apal1257-1-twenty-1","numerals-apal1257-1","Chan2019","twenty",20,"vinteme","vinteme",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","20","numerals-apal1257-1.csv","NK","?","?",NA
"68",5249,"numerals-apal1257-1-twentyone-1","numerals-apal1257-1","Chan2019","twentyone",21,"vinte e umme","vinteeumme",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","20+{+}1’","numerals-apal1257-1.csv","NK","?","?",NA
"69",5250,"numerals-apal1257-1-twentytwo-1","numerals-apal1257-1","Chan2019","twentytwo",22,"vinte e doisme","vinteedoisme",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","20+{+}2’","numerals-apal1257-1.csv","NK","?","?",NA
"70",5251,"numerals-apal1257-1-twentythree-1","numerals-apal1257-1","Chan2019","twentythree",23,"vinte e trêsme","vinteetresme",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","20+{+}3’","numerals-apal1257-1.csv","NK","?","?",NA
"71",5252,"numerals-apal1257-1-twentyfour-1","numerals-apal1257-1","Chan2019","twentyfour",24,"vinte e quatrome","vinteequatrome",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","20+{+}4","numerals-apal1257-1.csv","NK","?","?",NA
"72",5253,"numerals-apal1257-1-twentyfive-1","numerals-apal1257-1","Chan2019","twentyfive",25,"vinte cincome","vintecincome",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","20+{+}5’","numerals-apal1257-1.csv","NK","?","?",NA
"73",5254,"numerals-apal1257-1-twentysix-1","numerals-apal1257-1","Chan2019","twentysix",26,"vinte seisme","vinteseisme",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","20+{+}6","numerals-apal1257-1.csv","NK","?","?",NA
"74",5255,"numerals-apal1257-1-twentyseven-1","numerals-apal1257-1","Chan2019","twentyseven",27,"vinte setme","vintesetme",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","20+{+}7","numerals-apal1257-1.csv","NK","?","?",NA
"75",5256,"numerals-apal1257-1-twentyeight-1","numerals-apal1257-1","Chan2019","twentyeight",28,"vinte e oitome","vinteeoitome",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","20+{+}8","numerals-apal1257-1.csv","NK","?","?",NA
"76",5257,"numerals-apal1257-1-twentynine-1","numerals-apal1257-1","Chan2019","twentynine",29,"vinte e noveme","vinteenoveme",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","20+{+}9","numerals-apal1257-1.csv","NK","?","?",NA
"77",5258,"numerals-apal1257-1-thirty-1","numerals-apal1257-1","Chan2019","thirty",30,"trintame","trintame",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","3’⋅10’","numerals-apal1257-1.csv","NK","?","?",NA
"78",5259,"numerals-apal1257-1-forty-1","numerals-apal1257-1","Chan2019","forty",40,"quarentame","quarentame",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","4⋅10’","numerals-apal1257-1.csv","NK","?","?",NA
"79",5260,"numerals-apal1257-1-fifty-1","numerals-apal1257-1","Chan2019","fifty",50,"cinquentame","cinquentame",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","5’⋅10’","numerals-apal1257-1.csv","NK","?","?",NA
"80",5261,"numerals-apal1257-1-sixty-1","numerals-apal1257-1","Chan2019","sixty",60,"sessentame","sessentame",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","6⋅10’","numerals-apal1257-1.csv","NK","?","?",NA
"81",5262,"numerals-apal1257-1-seventy-1","numerals-apal1257-1","Chan2019","seventy",70,"setentame","setentame",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","7⋅10’","numerals-apal1257-1.csv","NK","?","?",NA
"82",5263,"numerals-apal1257-1-eighty-1","numerals-apal1257-1","Chan2019","eighty",80,"oitentame","oitentame",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","8⋅10’","numerals-apal1257-1.csv","NK","?","?",NA
"83",5264,"numerals-apal1257-1-ninety-1","numerals-apal1257-1","Chan2019","ninety",90,"noventame","noventame",NA,"false","?","A loan from Portuguese. Either atomic or codeswitching to Portuguese.","9⋅10’","numerals-apal1257-1.csv","NK","?","?",NA
"84",5442,"numerals-araw1276-1-ninety-1","numerals-araw1276-1","Chan2019","ninety",90,"bithi loko diako biandakhabo","bithilokodiakobiandakhabo",NA,"false","?","Identical to 50?",NA,"numerals-araw1276-1.csv","NK","?","?",NA
"85",5628,"numerals-arik1262-1-thirty-1","numerals-arik1262-1","Chan2019","thirty",30,"nasaáwiʔuʔ","nasaawiu","","false","?","I don’t understand the composition.",NA,"numerals-arik1262-1.csv","NK","?","?",NA
"86",5629,"numerals-arik1262-1-forty-1","numerals-arik1262-1","Chan2019","forty",40,"nooxiniʔ na čiitíʔiš","nooxininaciitiis","","false","?","Identical to 14? Should probably be pitkuxunaanuʔ (2⋅20′) based on 50.",NA,"numerals-arik1262-1.csv","NK","?","?",NA
"87",5637,"numerals-arik1262-1-thousand-1","numerals-arik1262-1","Chan2019","thousand",1000,"áxku nooxínaánuʔ","axkunooxinaanu","('one [ten] tens )","false","?","Contributor suggests to analyze nooxínaánuʔ as “[ten] tens” but that doesn’t add up mathematically.",NA,"numerals-arik1262-1.csv","NK","?","?",NA
"88",5638,"numerals-arik1262-1-twothousand-1","numerals-arik1262-1","Chan2019","twothousand",2000,"pítkux nooxínaánuʔ","pitkuxnooxinaanu","","false","?","Contributor suggests to analyze nooxínaánuʔ as “[ten] tens” but that doesn’t add up mathematically.",NA,"numerals-arik1262-1.csv","NK","?","?",NA
"89",5642,"numerals-arik1265-1-three-1","numerals-arik1265-1","Chan2019","three",3,"biɔ'tə̃","biota","three”, “five”, “thumb” (lit. “without companion”)","false","?","According to contributor, not referring to an exact quantity.",NA,"numerals-arik1265-1.csv","NK","?","?",NA
"90",5647,"numerals-arik1265-1-five-2","numerals-arik1265-1","Chan2019","five",5,"tʃinĩkaj 'kə̃","tsinikajka","“more than five (e.g. seven)” (lit. “(our) fingers are finished”","false","?","According to contributor, not referring to an exact quantity.",NA,"numerals-arik1265-1.csv","NK","?","?",NA
"91",5716,"numerals-ashe1272-1-four-2","numerals-ashe1272-1","Chan2019","four",4,"oihatapakerori","oihatapakerori","","false","?","contributor expresses doubt on authenticity of indigenous numerals above 3; analysis unclear but probably not atomic",NA,"numerals-ashe1272-1_ED.csv","NK","?","?",NA
"92",5717,"numerals-ashe1272-1-four-3","numerals-ashe1272-1","Chan2019","four",4,"apitekavakaye","apitekavakaye","","false","?","contributor expresses doubt on authenticity of indigenous numerals above 3","2⋅2’","numerals-ashe1272-1_ED.csv","NK","?","?",NA
"93",5719,"numerals-ashe1272-1-five-2","numerals-ashe1272-1","Chan2019","five",5,"apapakoroni","apapakoroni","","false","?","contributor expresses doubt on authenticity of indigenous numerals above 3","1⋅5{hand}","numerals-ashe1272-1_ED.csv","NK","?","?",NA
"94",5720,"numerals-ashe1272-1-five-3","numerals-ashe1272-1","Chan2019","five",5,"apavakoroni","apavakoroni","(lit: 'a hand full')","false","?","contributor expresses doubt on authenticity of indigenous numerals above 3","1⋅5{hand}","numerals-ashe1272-1_ED.csv","NK","?","?",NA
"95",5722,"numerals-ashe1272-1-six-2","numerals-ashe1272-1","Chan2019","six",6,"oihataakeroroi","oihata","","false","?","I merged this (oihata) and the following row (akeroroi) as these were separated incorrectly. They are not alternative forms for 6 but a single one. Contributor expresses doubt on authenticity of indigenous numerals above 3; analysis unclear but likely not atomic",NA,"numerals-ashe1272-1_ED.csv","NK","?","?",NA
"96",5724,"numerals-ashe1272-1-seven-2","numerals-ashe1272-1","Chan2019","seven",7,"otsipatvaka","otsipatvaka","","false","?","contributor expresses doubt on authenticity of indigenous numerals above 3; analysis unclear but probably not atomic",NA,"numerals-ashe1272-1_ED.csv","NK","?","?",NA
"97",5726,"numerals-ashe1272-1-eight-2","numerals-ashe1272-1","Chan2019","eight",8,"apitapaka","apitapaka","","false","?","contributor expresses doubt on authenticity of indigenous numerals above 3; analysis unclear but probably not atomic: looks like 2⋅4 but that doesn’t match other instances of ‘paka’, e.g., in 9 or 10",NA,"numerals-ashe1272-1_ED.csv","NK","?","?",NA
"98",5728,"numerals-ashe1272-1-nine-2","numerals-ashe1272-1","Chan2019","nine",9,"opoñapaka","oponapaka","","false","?","contributor expresses doubt on authenticity of indigenous numerals above 3; analysis unclear but probably not atomic",NA,"numerals-ashe1272-1_ED.csv","NK","?","?",NA
"99",5730,"numerals-ashe1272-1-ten-2","numerals-ashe1272-1","Chan2019","ten",10,"tsonkatapaka","tsonkatapaka","","false","?","contributor expresses doubt on authenticity of indigenous numerals above 3; analysis unclear but probably not atomic",NA,"numerals-ashe1272-1_ED.csv","NK","?","?",NA
"100",5736,"numerals-ashe1272-1-twentyone-1","numerals-ashe1272-1","Chan2019","twentyone",21,"veintuno","veintuno","","true","?","loan from Spanish; either atomic in this language with the original Spanish structure likely being intransparent or a case of codeswitching",NA,"numerals-ashe1272-1_ED.csv","NK","?","?",NA
