,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-west2488-1-one-1,numerals-west2488-1,Chan2019,one,1,tòò,too,,false,1,,
2,numerals-west2488-1-two-1,numerals-west2488-1,Chan2019,two,2,sɔɔ̌n,soon,,false,2,,
3,numerals-west2488-1-three-1,numerals-west2488-1,Chan2019,three,3,ta̓a̓n,taan,,false,3,,
4,numerals-west2488-1-four-1,numerals-west2488-1,Chan2019,four,4,nyìɛ̓,nyie,,false,4,,
5,numerals-west2488-1-five-1,numerals-west2488-1,Chan2019,five,5,m̀m̌,mm,,false,5,,
6,numerals-west2488-1-six-1,numerals-west2488-1,Chan2019,six,6,mɛ̀o̓,meo,( 5 + 1 ),false,5’+1’,"5’ = deletion of ‘m’, 1’ = deletion of consonant and vowel",
7,numerals-west2488-1-seven-1,numerals-west2488-1,Chan2019,seven,7,mɛ̀sɔɔ̌n,mesoon,( 5 + 2 ),false,5’+2,,
8,numerals-west2488-1-eight-1,numerals-west2488-1,Chan2019,eight,8,mɛta̓a̓ǹ,metaan,( 5 + 3 ),false,5’+3,,
9,numerals-west2488-1-nine-1,numerals-west2488-1,Chan2019,nine,9,mɛ̀nyìɛ̓,menyie,( 5 + 4 ),false,5’+4,,
10,numerals-west2488-1-ten-1,numerals-west2488-1,Chan2019,ten,10,pùèè,puee,,false,10,,
11,numerals-west2488-1-eleven-1,numerals-west2488-1,Chan2019,eleven,11,pùèè-jɔ̌e̓-due,pueejoedue,,false,10+{and}1,,
12,numerals-west2488-1-twelve-1,numerals-west2488-1,Chan2019,twelve,12,pùèè-jɔ̌-sɔɔ̌n,pueejosoon,,false,10+{and}2,,
13,numerals-west2488-1-thirteen-1,numerals-west2488-1,Chan2019,thirteen,13,pùèè-jɔ̌-ta̓a̓n,pueejotaan,,false,10+{and}3,,
14,numerals-west2488-1-fourteen-1,numerals-west2488-1,Chan2019,fourteen,14,pùèè-jɔ̌-nyìɛ̓,pueejonyie,,false,10+{and}4,,
15,numerals-west2488-1-fifteen-1,numerals-west2488-1,Chan2019,fifteen,15,pùèè-jɔ̌-m̀m̌,pueejomm,,false,10+{and}5,,
16,numerals-west2488-1-sixteen-1,numerals-west2488-1,Chan2019,sixteen,16,pùèè-jɔ̌-mɛ̀o̓,pueejomeo,,false,10+{and}5’+1’,,
17,numerals-west2488-1-seventeen-1,numerals-west2488-1,Chan2019,seventeen,17,pùèè-jɔ̌-mɛ̀sɔɔ̌n,pueejomesoon,,false,10+{and}5'+2,,
18,numerals-west2488-1-eighteen-1,numerals-west2488-1,Chan2019,eighteen,18,pùèè-jɔ̌-mɛta̓a̓n,pueejometaan,,false,10+{and}5'+3,,
19,numerals-west2488-1-nineteen-1,numerals-west2488-1,Chan2019,nineteen,19,pùèè-jɔ̌-mɛ̀nyìɛ,pueejomenyie,,false,10+{and}5'+4,,
20,numerals-west2488-1-twenty-1,numerals-west2488-1,Chan2019,twenty,20,kwela sɔɔ̌n,kwelasoon,,false,10·2,,
21,numerals-west2488-1-twentyone-1,numerals-west2488-1,Chan2019,twentyone,21,kwela-sɔɔ̌n-jɔ̌e̓-due,kwelasoonjoedue,,false,(10·2)+{and}1”,"1” = t > d, oo > ue",
22,numerals-west2488-1-twentytwo-1,numerals-west2488-1,Chan2019,twentytwo,22,kwela-sɔɔ̌n-jɔ-sɔɔ̌n,kwelasoonjosoon,,false,(10·2)+{and}2,,
23,numerals-west2488-1-twentythree-1,numerals-west2488-1,Chan2019,twentythree,23,kwela-sɔɔ̌n-jɔ-ta̓a̓n,kwelasoonjotaan,,false,(10·2)+{and}3,,
24,numerals-west2488-1-twentyfour-1,numerals-west2488-1,Chan2019,twentyfour,24,kwela-sɔɔ̌n-jɔ-nyìɛ̓,kwelasoonjonyie,,false,(10·2)+{and}4,,
25,numerals-west2488-1-twentyfive-1,numerals-west2488-1,Chan2019,twentyfive,25,kwela-sɔɔ̌n-jɔ-m̀m̌,kwelasoonjomm,,false,(10·2)+{and}5,,
26,numerals-west2488-1-twentysix-1,numerals-west2488-1,Chan2019,twentysix,26,kwela-sɔɔ̌n-jɔ-mɛ̀o̓,kwelasoonjomeo,,false,(10·2)+{and}5’+1’,,
27,numerals-west2488-1-twentyseven-1,numerals-west2488-1,Chan2019,twentyseven,27,kwela-sɔɔ̌n-jɔ-mɛ̀sɔɔ̌n,kwelasoonjomesoon,,false,(10·2)+{and}5’+2,,
28,numerals-west2488-1-twentyeight-1,numerals-west2488-1,Chan2019,twentyeight,28,kwela-sɔɔ̌n-jɔ-mɛta̓a̓n,kwelasoonjometaan,,false,(10·2)+{and}5’+3,,
29,numerals-west2488-1-twentynine-1,numerals-west2488-1,Chan2019,twentynine,29,kwela-sɔɔ̌n-jɔ-mɛ̀nyìɛ,kwelasoonjomenyie,,false,(10·2)+{and}5’+4,,
30,numerals-west2488-1-thirty-1,numerals-west2488-1,Chan2019,thirty,30,kwela-ta̓a̓n,kwelataan,,false,10’·3,,
31,numerals-west2488-1-forty-1,numerals-west2488-1,Chan2019,forty,40,kwela-nyìɛ̓,kwelanyie,,false,10’·4,,
32,numerals-west2488-1-fifty-1,numerals-west2488-1,Chan2019,fifty,50,kwela-m̀m̌,kwelamm,,false,10’·5,,
33,numerals-west2488-1-sixty-1,numerals-west2488-1,Chan2019,sixty,60,kwela-mɛ̀o̓,kwelameo,,false,10’·(5’+1’),,
34,numerals-west2488-1-seventy-1,numerals-west2488-1,Chan2019,seventy,70,kwela-mɛ̀sɔɔ̌n,kwelamesoon,,false,10’·(5’+2),,
35,numerals-west2488-1-eighty-1,numerals-west2488-1,Chan2019,eighty,80,kwela-mɛta̓a̓n,kwelametaan,,false,10’·(5’+3),,
36,numerals-west2488-1-ninety-1,numerals-west2488-1,Chan2019,ninety,90,kwela-mɛ̀nyìɛ,kwelamenyie,,false,10’·(5’+4),,
37,numerals-west2488-1-hundred-1,numerals-west2488-1,Chan2019,hundred,100,kmɛ due,kmedue,,false,100’·1’,,
38,numerals-west2488-1-twohundred-1,numerals-west2488-1,Chan2019,twohundred,200,kmɛ,kme,,false,?,kme = same form for 100,
39,numerals-west2488-1-thousand-1,numerals-west2488-1,Chan2019,thousand,1000,wlǔ due,wludue,,false,1000·1,“wlǔ” is attested as 400 in some Kru languages,
40,numerals-west2488-1-twothousand-1,numerals-west2488-1,Chan2019,twothousand,2000,wlǔ,wlu,,false,?,“wlǔ” = form for 1000 above,
