ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
numerals-bedj1245-1-one-1;numerals-bedj1245-1;Chan2019;one;1;káre;kare;;FALSE;1;;
numerals-bedj1245-1-two-1;numerals-bedj1245-1;Chan2019;two;2;ɟó;jo;;FALSE;2;;
numerals-bedj1245-1-three-1;numerals-bedj1245-1;Chan2019;three;3;mɨ̀té;mite;;FALSE;3;;
numerals-bedj1245-1-four-1;numerals-bedj1245-1;Chan2019;four;4;sɔ́ː;so;;FALSE;4;;
numerals-bedj1245-1-five-1;numerals-bedj1245-1;Chan2019;five;5;mḭ́ː;mi;;FALSE;5;;
numerals-bedj1245-1-six-1;numerals-bedj1245-1;Chan2019;six;6;mɛ̰hɛ;mehe;;FALSE;6;;
numerals-bedj1245-1-seven-1;numerals-bedj1245-1;Chan2019;seven;7;sɨrí;siri;;FALSE;7;;
numerals-bedj1245-1-eight-1;numerals-bedj1245-1;Chan2019;eight;8;ɟiɟó;jijo;( 10 -2);FALSE;10’-2;;
numerals-bedj1245-1-nine-1;numerals-bedj1245-1;Chan2019;nine;9;ɟikáre;jikare;( 10 -1 );FALSE;10’-1;;
numerals-bedj1245-1-ten-1;numerals-bedj1245-1;Chan2019;ten;10;dɔ̀ɡɨ;dogi;;FALSE;10;;
numerals-bedj1245-1-eleven-1;numerals-bedj1245-1;Chan2019;eleven;11;dɔ̀ɡɨ̀ɡɨ̀dé káre;dogigidekare;;FALSE;10+{LIG}1;;
numerals-bedj1245-1-twelve-1;numerals-bedj1245-1;Chan2019;twelve;12;dɔ̀ɡɨ̀ɡɨ̀dé ɟó;dogigidejo;;FALSE;10+{LIG}2;;
numerals-bedj1245-1-thirteen-1;numerals-bedj1245-1;Chan2019;thirteen;13;dɔ̀ɡɨ̀ɡɨ̀dé mɨ̀té;dogigidemite;;FALSE;10+{LIG}3;;
numerals-bedj1245-1-fourteen-1;numerals-bedj1245-1;Chan2019;fourteen;14;dɔ̀ɡɨ̀ɡɨ̀dé sɔ́ː;dogigideso;;FALSE;10+{LIG}4;;
numerals-bedj1245-1-fifteen-1;numerals-bedj1245-1;Chan2019;fifteen;15;dɔ̀ɡɨ̀ɡɨ̀dé mḭ́ː;dogigidemi;;FALSE;10+{LIG}5;;
numerals-bedj1245-1-sixteen-1;numerals-bedj1245-1;Chan2019;sixteen;16;dɔ̀ɡɨ̀ɡɨ̀dé mɛ̰hɛ;dogigidemehe;;FALSE;10+{LIG}6;;
numerals-bedj1245-1-seventeen-1;numerals-bedj1245-1;Chan2019;seventeen;17;dɔ̀ɡɨ̀ɡɨ̀dé sɨrí;dogigidesiri;;FALSE;10+{LIG}7;;
numerals-bedj1245-1-eighteen-1;numerals-bedj1245-1;Chan2019;eighteen;18;dɔ̀ɡɨ̀ɡɨ̀dé ɟiɟó;dogigidejijo;;FALSE;10+{LIG}10’-2;;
numerals-bedj1245-1-nineteen-1;numerals-bedj1245-1;Chan2019;nineteen;19;dɔ̀ɡɨ̀ɡɨ̀dé ɟikáre;dogigidejikare;;FALSE;10+{LIG}10’-1;;
numerals-bedj1245-1-twenty-1;numerals-bedj1245-1;Chan2019;twenty;20;dɔ̀ɟó;dojo;;FALSE;10·2;;
numerals-bedj1245-1-twentyone-1;numerals-bedj1245-1;Chan2019;twentyone;21;dɔ̀ɟó ɡɨ̀dé káre;dojogidekare;;FALSE;(10·2)+{LIG}1;;
numerals-bedj1245-1-twentytwo-1;numerals-bedj1245-1;Chan2019;twentytwo;22;dɔ̀ɟó ɡɨ̀dé ɟó;dojogidejo;;FALSE;(10·2)+{LIG}2;;
numerals-bedj1245-1-twentythree-1;numerals-bedj1245-1;Chan2019;twentythree;23;dɔ̀ɟó ɡɨ̀dé mɨ̀té;dojogidemite;;FALSE;(10·2)+{LIG}3;;
numerals-bedj1245-1-twentyfour-1;numerals-bedj1245-1;Chan2019;twentyfour;24;dɔ̀ɟó ɡɨ̀dé sɔ́ː;dojogideso;;FALSE;(10·2)+{LIG}4;;
numerals-bedj1245-1-twentyfive-1;numerals-bedj1245-1;Chan2019;twentyfive;25;dɔ̀ɟó ɡɨ̀dé mḭ́ː;dojogidemi;;FALSE;(10·2)+{LIG}5;;
numerals-bedj1245-1-twentysix-1;numerals-bedj1245-1;Chan2019;twentysix;26;dɔ̀ɟó ɡɨ̀dé mɛ̰hɛ;dojogidemehe;;FALSE;(10·2)+{LIG}6;;
numerals-bedj1245-1-twentyseven-1;numerals-bedj1245-1;Chan2019;twentyseven;27;dɔ̀ɟó ɡɨ̀dé sɨrí;dojogidesiri;;FALSE;(10·2)+{LIG}7;;
numerals-bedj1245-1-twentyeight-1;numerals-bedj1245-1;Chan2019;twentyeight;28;dɔ̀ɟó ɡɨ̀dé ɟiɟó;dojogidejijo;;FALSE;(10·2)+{LIG}10’-2;;
numerals-bedj1245-1-twentynine-1;numerals-bedj1245-1;Chan2019;twentynine;29;dɔ̀ɟó ɡɨ̀dé ɟikáre;dojogidejikare;;FALSE;(10·2)+{LIG}10’-1;;
numerals-bedj1245-1-thirty-1;numerals-bedj1245-1;Chan2019;thirty;30;dɔ̀mɨté;domite;;FALSE;10·3;;
numerals-bedj1245-1-forty-1;numerals-bedj1245-1;Chan2019;forty;40;dɔ̀sɔ́;doso;;FALSE;10·4;;
numerals-bedj1245-1-fifty-1;numerals-bedj1245-1;Chan2019;fifty;50;dɔ̀mḭ́;domi;;FALSE;10·5;;
numerals-bedj1245-1-sixty-1;numerals-bedj1245-1;Chan2019;sixty;60;dɔ̀mɛ̰hɛ;domehe;;FALSE;10·6;;
numerals-bedj1245-1-seventy-1;numerals-bedj1245-1;Chan2019;seventy;70;dɔ̀sɨrí;dosiri;;FALSE;10·7;;
numerals-bedj1245-1-eighty-1;numerals-bedj1245-1;Chan2019;eighty;80;dɔ̀ɟiɟó;dojijo;;FALSE;10·8;;
numerals-bedj1245-1-ninety-1;numerals-bedj1245-1;Chan2019;ninety;90;dɔ̀ɟikáre;dojikare;;FALSE;10·9;;
numerals-bedj1245-1-hundred-1;numerals-bedj1245-1;Chan2019;hundred;100;ɓuː́;bu;;FALSE;100;;
numerals-bedj1245-1-twohundred-1;numerals-bedj1245-1;Chan2019;twohundred;200;ɓúɟo;bujo;;FALSE;100·2;;
numerals-bedj1245-1-thousand-1;numerals-bedj1245-1;Chan2019;thousand;1000;sàkɨ kárē;sakikare;( sàkɨ < French);TRUE;1000·1;;
