;ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
1;numerals-zana1238-1-one-1;numerals-zana1238-1;Chan2019;one;1;yimʷɛ;yimwe;;FALSE;1;NA;NA
2;numerals-zana1238-1-two-1;numerals-zana1238-1;Chan2019;two;2;iβɪɾɪ;ibiri;;FALSE;2;NA;NA
3;numerals-zana1238-1-three-1;numerals-zana1238-1;Chan2019;three;3;isatu;isatu;;FALSE;3;NA;NA
4;numerals-zana1238-1-four-1;numerals-zana1238-1;Chan2019;four;4;iɲɛ;ine;;FALSE;4;NA;NA
5;numerals-zana1238-1-five-1;numerals-zana1238-1;Chan2019;five;5;isanɔ;isano;;FALSE;5;NA;NA
6;numerals-zana1238-1-six-1;numerals-zana1238-1;Chan2019;six;6;isasaβa;isasaba;;FALSE;6;NA;NA
7;numerals-zana1238-1-seven-1;numerals-zana1238-1;Chan2019;seven;7;mʊhʊnɡatɪ;muhungati;;FALSE;7;NA;NA
8;numerals-zana1238-1-eight-1;numerals-zana1238-1;Chan2019;eight;8;iɲaɲɛ;inane;( 2 x 4 ) ?;FALSE;4+[4]{?};NA;NA
9;numerals-zana1238-1-nine-1;numerals-zana1238-1;Chan2019;nine;9;kɛnda;kenda;;FALSE;9;NA;NA
10;numerals-zana1238-1-ten-1;numerals-zana1238-1;Chan2019;ten;10;ikumi;ikumi;;FALSE;10;NA;NA
11;numerals-zana1238-1-eleven-1;numerals-zana1238-1;Chan2019;eleven;11;ikumi na yimʷɛ;ikuminayimwe;;FALSE;10+{+}1;NA;NA
12;numerals-zana1238-1-twelve-1;numerals-zana1238-1;Chan2019;twelve;12;ikumi ni iβɪɾɪ;ikuminiibiri;;FALSE;10+{+}2;NA;NA
13;numerals-zana1238-1-thirteen-1;numerals-zana1238-1;Chan2019;thirteen;13;ikumi ni isatu;ikuminiisatu;;FALSE;10+{+}3;NA;NA
14;numerals-zana1238-1-fourteen-1;numerals-zana1238-1;Chan2019;fourteen;14;ikumi ni iɲɛ;ikuminiine;;FALSE;10+{+}4;NA;NA
15;numerals-zana1238-1-fifteen-1;numerals-zana1238-1;Chan2019;fifteen;15;ikumi ni isanɔ;ikuminiisano;;FALSE;10+{+}5;NA;NA
16;numerals-zana1238-1-sixteen-1;numerals-zana1238-1;Chan2019;sixteen;16;ikumi ni isasaβa;ikuminiisasaba;;FALSE;10+{+}6;NA;NA
17;numerals-zana1238-1-seventeen-1;numerals-zana1238-1;Chan2019;seventeen;17;ikumi na mʊhʊnɡatɪ;ikuminamuhungati;;FALSE;10+{+}7;NA;NA
18;numerals-zana1238-1-eighteen-1;numerals-zana1238-1;Chan2019;eighteen;18;ikumi ni iɲaɲɛ;ikuminiinane;;FALSE;10+{+}[4]+4’;NA;NA
19;numerals-zana1238-1-nineteen-1;numerals-zana1238-1;Chan2019;nineteen;19;ikumi na kɛnda;ikuminakenda;;FALSE;10+{+}9;NA;NA
20;numerals-zana1238-1-twenty-1;numerals-zana1238-1;Chan2019;twenty;20;miɾɔŋɡɔ eβɪɾɪ;mironggoebiri;;FALSE;10’·2';NA;NA
