,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-mall1246-1-one-1,numerals-mall1246-1,Chan2019,one,1,mǒoy,mooy,,false,1,,
2,numerals-mall1246-1-two-1,numerals-mall1246-1,Chan2019,two,2,piǎï,piai,,false,2,,
3,numerals-mall1246-1-three-1,numerals-mall1246-1,Chan2019,three,3,pʰɛ,phe,,false,3,,
4,numerals-mall1246-1-four-1,numerals-mall1246-1,Chan2019,four,4,pʰoon,phoon,,false,4,,
5,numerals-mall1246-1-five-1,numerals-mall1246-1,Chan2019,five,5,ha,ha,,false,5,"According to the contributor’s comment, after 4, Thai numerals are used.",
6,numerals-mall1246-1-six-1,numerals-mall1246-1,Chan2019,six,6,hok,hok,,false,6,,
7,numerals-mall1246-1-seven-1,numerals-mall1246-1,Chan2019,seven,7,tɕet,tcet,,false,7,,
8,numerals-mall1246-1-eight-1,numerals-mall1246-1,Chan2019,eight,8,pɛt,pet,,false,8,,
9,numerals-mall1246-1-nine-1,numerals-mall1246-1,Chan2019,nine,9,kau,kau,,false,9,,
10,numerals-mall1246-1-ten-1,numerals-mall1246-1,Chan2019,ten,10,sip,sip,,false,10,,
11,numerals-mall1246-1-eleven-1,numerals-mall1246-1,Chan2019,eleven,11,sipet,sipet,,false,10+1′,,
12,numerals-mall1246-1-twelve-1,numerals-mall1246-1,Chan2019,twelve,12,sipsɔŋ,sipsong,,false,10+2′,,
13,numerals-mall1246-1-thirteen-1,numerals-mall1246-1,Chan2019,thirteen,13,sipsam,sipsam,,false,10+3′,,
14,numerals-mall1246-1-fourteen-1,numerals-mall1246-1,Chan2019,fourteen,14,sipsi,sipsi,,false,10+4′,,
15,numerals-mall1246-1-fifteen-1,numerals-mall1246-1,Chan2019,fifteen,15,sipha,sipha,,false,10+5,,
16,numerals-mall1246-1-sixteen-1,numerals-mall1246-1,Chan2019,sixteen,16,siphok,siphok,,false,10+6,,
17,numerals-mall1246-1-seventeen-1,numerals-mall1246-1,Chan2019,seventeen,17,siptɕet,siptcet,,false,10+7,,
18,numerals-mall1246-1-eighteen-1,numerals-mall1246-1,Chan2019,eighteen,18,sippɛt,sippet,,false,10+8,,
19,numerals-mall1246-1-nineteen-1,numerals-mall1246-1,Chan2019,nineteen,19,sipkau,sipkau,,false,10+9,,
20,numerals-mall1246-1-twenty-1,numerals-mall1246-1,Chan2019,twenty,20,sau,sau,,false,20,,
21,numerals-mall1246-1-twentyone-1,numerals-mall1246-1,Chan2019,twentyone,21,sau et,sauet,,false,20+1′,,
22,numerals-mall1246-1-twentytwo-1,numerals-mall1246-1,Chan2019,twentytwo,22,sau sɔŋ,sausong,,false,20+2′,,
23,numerals-mall1246-1-twentythree-1,numerals-mall1246-1,Chan2019,twentythree,23,sau sam,sausam,,false,20+3′,,
24,numerals-mall1246-1-twentyfour-1,numerals-mall1246-1,Chan2019,twentyfour,24,sau si,sausi,,false,20+4′,,
25,numerals-mall1246-1-twentyfive-1,numerals-mall1246-1,Chan2019,twentyfive,25,sau ha,sauha,,false,20+5,,
26,numerals-mall1246-1-twentysix-1,numerals-mall1246-1,Chan2019,twentysix,26,sau hok,sauhok,,false,20+6,,
27,numerals-mall1246-1-twentyseven-1,numerals-mall1246-1,Chan2019,twentyseven,27,sau tɕet,sautcet,,false,20+7,,
28,numerals-mall1246-1-twentyeight-1,numerals-mall1246-1,Chan2019,twentyeight,28,sau pɛt,saupet,,false,20+8,,
29,numerals-mall1246-1-twentynine-1,numerals-mall1246-1,Chan2019,twentynine,29,sau kau,saukau,,false,20+9,,
30,numerals-mall1246-1-thirty-1,numerals-mall1246-1,Chan2019,thirty,30,sam sip,samsip,,false,3′⋅10,,
31,numerals-mall1246-1-forty-1,numerals-mall1246-1,Chan2019,forty,40,si sip,sisip,,false,4′⋅10,,
32,numerals-mall1246-1-fifty-1,numerals-mall1246-1,Chan2019,fifty,50,hasip,hasip,,false,5⋅10,,
33,numerals-mall1246-1-sixty-1,numerals-mall1246-1,Chan2019,sixty,60,hok sip,hoksip,,false,6⋅10,,
34,numerals-mall1246-1-seventy-1,numerals-mall1246-1,Chan2019,seventy,70,tɕet sip,tcetsip,,false,7⋅10,,
35,numerals-mall1246-1-eighty-1,numerals-mall1246-1,Chan2019,eighty,80,pɛt sip,petsip,,false,8⋅10,,
36,numerals-mall1246-1-ninety-1,numerals-mall1246-1,Chan2019,ninety,90,kau sip,kausip,,false,9⋅10,,
37,numerals-mall1246-1-hundred-1,numerals-mall1246-1,Chan2019,hundred,100,lɔi,loi,,false,100,,
38,numerals-mall1246-1-twohundred-1,numerals-mall1246-1,Chan2019,twohundred,200,sɔŋ lɔi,songloi,,false,2′⋅100,,
39,numerals-mall1246-1-thousand-1,numerals-mall1246-1,Chan2019,thousand,1000,pan,pan,,false,1000,,
40,numerals-mall1246-1-twothousand-1,numerals-mall1246-1,Chan2019,twothousand,2000,sɔŋ pan,songpan,,false,2′⋅1000,,
