"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-napu1241-1-one-1","barlowpacific-napu1241-1","Barlow2024","one",1,"isa","isa","","false",NA,NA,NA
"2","barlowpacific-napu1241-1-two-1","barlowpacific-napu1241-1","Barlow2024","two",2,"dua","dua","","false",NA,NA,NA
"3","barlowpacific-napu1241-1-three-1","barlowpacific-napu1241-1","Barlow2024","three",3,"talu","talu","","false",NA,NA,NA
"4","barlowpacific-napu1241-1-four-1","barlowpacific-napu1241-1","Barlow2024","four",4,"iba","iba","","false",NA,NA,NA
"5","barlowpacific-napu1241-1-five-1","barlowpacific-napu1241-1","Barlow2024","five",5,"lima","lima","","false",NA,NA,NA
"6","barlowpacific-napu1241-1-six-1","barlowpacific-napu1241-1","Barlow2024","six",6,"ini","ini","","false",NA,NA,NA
"7","barlowpacific-napu1241-1-seven-1","barlowpacific-napu1241-1","Barlow2024","seven",7,"pitu","pitu","","false",NA,NA,NA
"8","barlowpacific-napu1241-1-eight-1","barlowpacific-napu1241-1","Barlow2024","eight",8,"ualu","ualu","","false",NA,NA,NA
"9","barlowpacific-napu1241-1-nine-1","barlowpacific-napu1241-1","Barlow2024","nine",9,"hahio","hahio","","false",NA,NA,NA
"10","barlowpacific-napu1241-1-ten-1","barlowpacific-napu1241-1","Barlow2024","ten",10,"hampulo","hampulo","","false",NA,NA,NA
"11","barlowpacific-napu1241-1-eleven-1","barlowpacific-napu1241-1","Barlow2024","eleven",11,"hampulo hai isi","hampulohaiisi","","false",NA,NA,NA
"12","barlowpacific-napu1241-1-twelve-1","barlowpacific-napu1241-1","Barlow2024","twelve",12,"hampulo hai dua","hampulohaidua","","false",NA,NA,NA
"13","barlowpacific-napu1241-1-twenty-1","barlowpacific-napu1241-1","Barlow2024","twenty",20,"rompulo","rompulo","","false",NA,NA,NA
"14","barlowpacific-napu1241-1-twentyone-1","barlowpacific-napu1241-1","Barlow2024","twentyone",21,"rompulona isa","rompulonaisa","","false",NA,NA,NA
"15","barlowpacific-napu1241-1-hundred-1","barlowpacific-napu1241-1","Barlow2024","hundred",100,"haŋatu","hangatu","","false",NA,NA,NA
"16","barlowpacific-napu1241-1-thousand-1","barlowpacific-napu1241-1","Barlow2024","thousand",1000,"hasabu","hasabu","","false",NA,NA,NA
"17","barlowpacific-napu1241-1-onemillion-1","barlowpacific-napu1241-1","Barlow2024","onemillion",1e+06,"hajuta","hajuta","","false",NA,NA,NA
