"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-kwan1273-1-one-1","numerals-kwan1273-1","Chan2019","one",1,"-mwe","mwe","","false",NA,NA,NA
"2","numerals-kwan1273-1-two-1","numerals-kwan1273-1","Chan2019","two",2,"-vali","vali","","false",NA,NA,NA
"3","numerals-kwan1273-1-three-1","numerals-kwan1273-1","Chan2019","three",3,"-tatu","tatu","","false",NA,NA,NA
"4","numerals-kwan1273-1-four-1","numerals-kwan1273-1","Chan2019","four",4,"-ne","ne","","false",NA,NA,NA
"5","numerals-kwan1273-1-five-1","numerals-kwan1273-1","Chan2019","five",5,"-tano","tano","","false",NA,NA,NA
"6","numerals-kwan1273-1-six-1","numerals-kwan1273-1","Chan2019","six",6,"-tano na -mwe","tanonamwe","( 5 + 1 )","false",NA,NA,NA
"7","numerals-kwan1273-1-seven-1","numerals-kwan1273-1","Chan2019","seven",7,"-tano na -vali","tanonavali","( 5 + 2 )","false",NA,NA,NA
"8","numerals-kwan1273-1-eight-1","numerals-kwan1273-1","Chan2019","eight",8,"-tano na -tatu","tanonatatu","( 5 + 3 )","false",NA,NA,NA
"9","numerals-kwan1273-1-nine-1","numerals-kwan1273-1","Chan2019","nine",9,"-tano na -ne","tanonane","( 5 + 4 )","false",NA,NA,NA
"10","numerals-kwan1273-1-ten-1","numerals-kwan1273-1","Chan2019","ten",10,"mronɡo","mrongo","","false",NA,NA,NA
"11","numerals-kwan1273-1-eleven-1","numerals-kwan1273-1","Chan2019","eleven",11,"mronɡo -mwe","mrongomwe","","false",NA,NA,NA
"12","numerals-kwan1273-1-twelve-1","numerals-kwan1273-1","Chan2019","twelve",12,"mronɡo -vali","mrongovali","","false",NA,NA,NA
"13","numerals-kwan1273-1-thirteen-1","numerals-kwan1273-1","Chan2019","thirteen",13,"mronɡo -tatu","mrongotatu","","false",NA,NA,NA
"14","numerals-kwan1273-1-fourteen-1","numerals-kwan1273-1","Chan2019","fourteen",14,"mronɡo -ne","mrongone","","false",NA,NA,NA
"15","numerals-kwan1273-1-fifteen-1","numerals-kwan1273-1","Chan2019","fifteen",15,"mronɡo -tano","mrongotano","","false",NA,NA,NA
"16","numerals-kwan1273-1-sixteen-1","numerals-kwan1273-1","Chan2019","sixteen",16,"mronɡo -tano na -mwe","mrongotanonamwe","","false",NA,NA,NA
